"Price",Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating,State
221958,1,1.9,4827,1979,2,1.45,82240,48.6,5,WY
771155,2,2,1035,1987,2,1.75,74315,92.03,9,OK
231932,1,3,2769,1982,1,1.46,79249,52.08,3,TX
465838,3,3.3,2708,1907,3,1.62,80587,61.65,1,CO
359178,4,3.4,1175,1994,2,0.74,20756,15.66,4,MD
744167,1,3.4,4330,1920,0,1.65,78011,4.37,9,TX
210268,1,1.3,3435,1980,2,0.25,46378,11.08,4,IN
832180,2,2.5,2370,1986,0,1.8,14255,59.85,2,NY
154886,2,1.2,3360,2000,1,1.14,24484,9.5,5,VA
237337,3,2.6,4191,2017,0,1.65,66549,37.6,3,KS
621430,4,2.3,3765,1979,2,0.96,44503,55.01,9,OH
187498,2,3.7,4443,1969,2,1.32,83794,38.87,4,ID
999159,1,2.1,4650,1971,2,1.1,55113,16.37,6,MN
275203,4,1.4,1672,1924,1,1.49,84069,27.38,2,UT
291335,4,1.4,2052,1981,1,0.26,15249,92.83,6,PA
378167,1,3.3,2114,1988,3,0.21,29201,67.6,3,SC
141090,2,2.9,3698,1911,2,0.57,68576,49.6,9,NE
429365,1,1.3,877,1914,0,0.4,19686,1.27,2,PA
164820,4,1.3,3421,1958,1,1.76,63363,99.24,9,MO
887201,5,3.1,1400,1925,2,0.52,10661,67.15,5,NY
421879,5,1.2,1865,2004,2,1.95,54843,31.69,8,WI
818315,3,3.5,2936,2008,1,0.74,70963,87.93,2,LA
427069,1,3.1,3249,1925,3,0.45,52828,25.84,6,IA
876997,1,1.2,3143,1946,1,1.6,58604,54.4,3,ND
299041,3,1.3,2663,1931,1,1.35,20526,63.61,5,DC
891743,3,4,2118,1909,0,1.05,78910,22.11,8,TX
203355,3,2.1,4397,1915,0,1.16,35592,97.84,1,AL
335796,4,2.1,4562,1970,3,1.47,38982,74.82,5,MS
314176,1,3.4,2990,1916,2,0.53,10207,55.78,3,NY
284779,4,3.8,1792,1922,1,1.99,98733,18.06,4,WA
447449,3,4,3512,1925,3,1.95,78619,5.39,2,TX
521909,1,3.3,2992,1984,0,1.34,39328,32.01,9,MS
358795,4,2.1,2048,1985,1,0.48,56479,75.32,3,MN
586232,4,1.3,3854,2021,2,1.39,30103,26.93,2,GA
